,Kingdom,Phylum,Class,Order,Family,Genus
ASV_35579,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,Sulfuritalea
ASV_35580,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Anaeromyxobacter
ASV_35581,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Spirochaetaceae,Spirochaeta_2
ASV_35582,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,A7P-90m
ASV_35583,Bacteria,Fibrobacteres,Fibrobacteria,Fibrobacterales,TG3,NA
ASV_35584,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Rubinisphaeraceae,SH-PL14
ASV_35585,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,NA
ASV_35586,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,NA,NA
ASV_35587,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA
ASV_35588,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Anaerolinea
ASV_35589,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Thermostilla
ASV_35590,Bacteria,Proteobacteria,Gammaproteobacteria,NA,NA,NA
ASV_35591,Bacteria,Cyanobacteria,Oxyphotobacteria,Nostocales,Microcystaceae,Pleurocapsa_PCC-7327
ASV_35592,Bacteria,Dependentiae,Babeliae,Babeliales,Vermiphilaceae,NA
ASV_35593,Bacteria,Acidobacteria,Subgroup_6,Unknown_Order,Unknown_Family,Vicinamibacter
ASV_35594,Bacteria,NA,NA,NA,NA,NA
ASV_35595,Bacteria,Planctomycetes,Planctomycetacia,Gemmatales,Gemmataceae,NA
ASV_35596,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,NA
ASV_35597,Bacteria,Proteobacteria,Deltaproteobacteria,SAR324_clade(Marine_group_B),NA,NA
ASV_35598,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methanoperedenaceae,Candidatus_Methanoperedens
ASV_35599,Bacteria,Chloroflexi,Anaerolineae,SBR1031,NA,NA
ASV_35600,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Thermostilla
ASV_35601,Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,NA
ASV_35602,Bacteria,Bacteroidetes,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae,Ignavibacterium
ASV_35603,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,NA
ASV_35604,Bacteria,Acidobacteria,Subgroup_6,NA,NA,NA
ASV_35605,Bacteria,Planctomycetes,Planctomycetacia,Pirellulales,Pirellulaceae,Blastopirellula
ASV_35606,Bacteria,Bacteroidetes,Ignavibacteria,Kryptoniales,BSV26,NA
ASV_35607,Bacteria,Verrucomicrobia,Verrucomicrobiae,S-BQ2-57_soil_group,NA,NA
ASV_35608,NA,NA,NA,NA,NA,NA
ASV_35609,Bacteria,Firmicutes,Clostridia,Clostridiales,TC1,NA
ASV_35610,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Rhodocyclaceae,NA
ASV_35611,Bacteria,NA,NA,NA,NA,NA
ASV_35612,Bacteria,Chloroflexi,Anaerolineae,SBR1031,NA,NA
ASV_35613,Bacteria,GAL15,NA,NA,NA,NA
ASV_35614,Bacteria,Planctomycetes,Planctomycetacia,Gemmatales,Gemmataceae,NA
ASV_35615,Bacteria,Acidobacteria,Acidobacteriia,Solibacterales,Solibacteraceae_(Subgroup_3),TSBb06
ASV_35616,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,NA
ASV_35617,Bacteria,Planctomycetes,Planctomycetacia,Gemmatales,Gemmataceae,NA
ASV_35618,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,NA
ASV_35619,Bacteria,Nitrospirae,Thermodesulfovibrionia,NA,NA,NA
ASV_35620,Bacteria,Proteobacteria,Deltaproteobacteria,Oligoflexales,0319-6G20,NA
